Date,Country,Avg_Tone,Avg_Stability,Total_Mentions,Panic_Index
20190426,US,-2.685605520557287,0.4843065693430656,43271,0.0755995828988529
20190427,US,-2.940480193651257,0.0003392705682781,27615,0.1119592875318066
20190427,IN,-2.2824416487214383,-0.4608391608391608,2664,0.0979020979020979
20190428,US,-3.7061049384230342,-0.6134423251589467,26905,0.176203451407811
20190428,IN,-2.5137005656970133,-0.7184397163120566,2528,0.1276595744680851
20190429,IN,-2.1223743719499963,-0.8048387096774193,3705,0.1290322580645161
20190429,US,-3.2339821016148087,-0.4025709694697373,45324,0.1510444563470808
20190430,US,-3.235069592491738,-0.0430400660883932,53492,0.1131763733994217
20190430,IN,-2.899531656740359,-0.528828828828829,4250,0.1846846846846846
20190501,IN,-3.9037841023763074,-1.2687500000000005,5749,0.1805555555555555
20190501,US,-2.8688808801384487,-0.166710182767624,49640,0.1214099216710182
20190502,IN,-2.90873771206887,0.0499999999999999,4404,0.1008771929824561
20190502,US,-3.113911150071853,-0.0113767153607791,51285,0.1066843736166445
20190503,US,-3.167201664821198,-0.0388454011741683,44175,0.1032289628180039
20190503,IN,-2.1213297054913336,0.9087500000000006,4539,0.0708333333333333
20190504,US,-2.9223953362173014,-0.1301244813278008,27229,0.1136929460580912
20190504,IN,-2.578166130263746,0.32,2625,0.0866666666666666
20190505,IN,-3.078991831195495,-1.1325581395348845,2426,0.1705426356589147
20190505,US,-2.5960428701075315,0.0144200626959247,20429,0.1212121212121212
20190506,US,-2.12598340944432,0.3993698802772529,34367,0.1109010712035286
20190506,IN,-2.8718698384978163,-0.5097938144329895,3915,0.134020618556701
20190507,IN,-2.035899909770901,-0.1884848484848485,2922,0.1333333333333333
20190507,US,-3.0637952081904536,0.001556420233463,46592,0.105544747081712
20190508,IN,-2.02421339793108,0.7624338624338624,4079,0.0846560846560846
20190508,US,-2.576715910121893,0.1868619618286728,49521,0.1043053706169551
20190509,IN,-2.629176312910442,0.370353982300885,4442,0.084070796460177
20190509,US,-2.866529738807652,0.1506443914081146,48429,0.1002386634844868
20190510,IN,-2.30914681929178,0.3774566473988438,3625,0.0809248554913294
20190510,US,-2.681509174270146,0.2899022801302932,46192,0.1042345276872964
20190511,IN,-2.6083760528943256,-0.9604316546762592,2562,0.1654676258992805
20190511,US,-2.547301079761428,0.2366209262435677,24253,0.104631217838765
20190512,IN,-3.9031359144274567,-2.0080882352941174,2388,0.3088235294117647
20190512,US,-2.895423814540387,-0.034539089848308,19371,0.1283547257876312
20190513,IN,-2.651898395398323,-0.1921182266009852,3743,0.1182266009852216
20190513,US,-2.7415554316930364,0.2786788750817527,32434,0.0856769130150425
