Date,USD_to_INR,Goldstein_Mean,Goldstein_Median,Goldstein_Sum,Event_Count,Total_Mentions,Avg_Tone
2025-05-30,85.56,0.124519692603266,1.0,1037.0,8328,41820,-1.9735651200570723
2025-06-02,85.38,0.5248459958932239,1.9,4600.8,8766,42847,-1.834137359007329
2025-06-03,85.62,0.5455387783115992,1.0,4769.1,8742,42786,-1.5849540211396835
2025-06-04,85.89,0.5653048629967908,1.0,4580.099999999999,8102,40003,-1.774078178641456
2025-06-05,85.83,0.6509930290674734,1.9,4949.5,7603,37993,-1.641537218506962
2025-06-06,85.74,0.4239111334253796,1.0,3377.3,7967,38870,-1.3049708426892357
2025-06-09,85.66,0.2835330406928461,1.0,2389.9,8429,42068,-2.05986884503416
2025-06-10,85.58,0.1516279612556891,1.0,1299.3,8569,43781,-1.9630857839545437
2025-06-11,85.54,0.1484972858466834,1.0,1121.6,7553,40031,-1.9686308586275
2025-06-12,85.54,0.2882828282828283,1.0,2425.9,8415,45874,-3.0950681136088023
2025-06-13,86.09,0.5471035481535119,1.9,4533.3,8286,44358,-2.8032203029550344
2025-06-16,86.04,2.085,3.2,41.7,20,76,-1.9473282474679332
2025-06-17,86.26,2.2641509433962264,1.9,120.0,53,292,-1.3131583804739446
2025-06-18,86.43,0.2099999999999999,1.0,8.399999999999999,40,240,-1.0734953204641628
2025-06-19,86.74,1.492307692307692,2.35,38.8,26,93,-4.262807177355723
2025-06-20,86.62,0.6482758620689654,2.8,18.8,29,166,-3.4006501568201397
2025-06-23,86.77,0.5809523809523809,1.9,12.199999999999998,21,71,-2.913033180988449
2025-06-24,86.03,1.1333333333333333,1.0,23.8,21,88,-1.6384020389648108
2025-06-25,86.1,-1.8517241379310343,0.0,-107.4,58,248,-2.6690909147888315
2025-06-26,85.75,0.2156249999999999,1.0,6.899999999999999,32,211,-0.9173701140977314
2025-06-27,85.51,0.8333333333333334,1.0,22.5,27,131,-1.2359228923969514
2025-06-30,85.8,0.0638554216867469,1.9,5.299999999999995,83,336,-1.5356900205902413
2025-07-01,85.56,0.9427083333333334,1.9,90.5,96,439,-1.930611006847568
2025-07-02,85.67,0.388083538083538,1.0,3159.0,8140,42687,-1.787887819877947
2025-07-03,85.38,0.3361650485436893,1.0,2631.5,7828,41581,-1.3799276714832522
2025-07-04,85.41,0.3358487991266375,1.0,2461.1,7328,38412,-1.3681526308545673
2025-07-07,85.93,-0.0558333333333333,1.0,-415.4000000000001,7440,37761,-1.9162580882441815
2025-07-08,85.67,0.1492379058979456,1.0,1126.0,7545,40261,-2.128068978950001
2025-07-09,85.72,0.2676792522444963,1.0,2176.5,8131,42485,-2.0033213397665333
2025-07-10,85.76,0.4606416688671772,1.0,3488.9,7574,38635,-1.714633997160721
2025-07-11,85.83,0.4847382048331415,1.0,3369.9,6952,36732,-1.6643776881611232
2025-07-14,86.01,0.4477311748834927,1.0,3650.8,8154,41633,-1.5183555854365578
2025-07-15,85.86,0.4376053101863671,1.0,3428.2,7834,41583,-1.730539434610396
2025-07-16,85.99,0.3341757536882617,1.0,2604.9,7795,41179,-1.6677111364973618
2025-07-17,86.08,0.1670171182100013,1.0,1239.1,7419,39110,-1.930998654215144
