Date,US_Avg_Tone,US_Avg_Stability,US_Total_Mentions,US_Event_Count,US_Crisis_Events
20200814,-2.422123952745032,0.61411468178954,31754,1587,129
20200815,-2.083173678822883,0.3041465766634522,19565,1037,101
20200816,-2.3026997974858854,0.4209210526315787,14798,760,86
20200817,-2.6059093862033067,0.0486833220796759,30716,1481,169
20200818,-2.15176692153232,0.5890042761148442,34816,1637,135
20200819,-1.9706311967513488,0.4813349084465444,34425,1693,139
20200820,-2.364382960672589,0.4173889193636863,40599,1823,162
20200821,-2.977485786709365,0.0799608355091383,30675,1532,156
20200822,-2.8591667912048546,0.1041313559322034,20208,944,104
20200823,-2.9603334308296225,-0.2408665105386417,18145,854,123
20200824,-2.8241718223696544,-0.0554035567715458,30286,1462,189
20200825,-2.6452914818625555,-0.139443535188216,35094,1833,230
20200826,-3.05165369122068,-0.0260296540362438,37707,1821,217
20200827,-3.1213671989807183,0.0141751042287075,34023,1679,191
20200828,-2.948963976031319,-0.0298993487270574,33672,1689,202
20200829,-2.923935028588517,0.0244809688581314,23177,1156,144
20200830,-3.3923859519447244,-1.025884955752212,17204,904,178
20200831,-3.094454707591332,-0.2059798270893373,27468,1388,180
20200901,-2.8444499530618335,0.3100112485939257,34749,1778,209
20200902,-2.4808667963486286,0.5620010643959553,39607,1879,175
20200903,-2.4674588943704,0.222246817930271,36633,1807,173
20200904,-2.852480335035789,0.231602564102564,31309,1560,174
20200905,-2.8748875325756837,0.2300518134715024,18680,965,95
20200906,-3.476463408123761,-0.2308227114716106,16624,863,126
20200907,-2.728998390864704,-0.0996621621621621,17833,888,116
20200908,-2.61341981060638,0.0174285714285714,28087,1400,148
20200909,-2.7689033494147552,0.3414112203585887,36324,1729,177
20200910,-2.322465518468973,0.3671497584541063,31430,1656,161
20200911,-2.7848326488224746,0.2913228155339805,32224,1648,174
20200912,-2.6504063496094457,0.1803201506591335,21636,1062,111
20200913,-3.025599155599068,0.018076923076923,16373,780,110
20200914,-2.667013267204696,0.3622397702799712,26136,1393,137
20200915,-2.6333178052041677,0.3313672922252011,37160,1865,184
20200916,-2.638512154441417,0.1759685569904548,36360,1781,187
20200917,-2.503702944881613,0.2175736961451247,35160,1764,172
20200918,-2.4890424097336883,0.178314826910516,29770,1531,151
20200919,-1.7743286900159276,0.4941815360744762,24970,1289,110
20200920,-1.6644716479135826,0.0197940503432494,17588,874,91
